solver,step,time_s,work_units,initial_residual,final_residual,final_relative_residual,convergence_factor,sec_per_work_unit_from_campaign,estimated_pressure_time_s
MG3V,43,0.00022922581825922362,2.0,64070.412740424275,4931.0716303841327,9.7055685195047482e-05,0.27742263651791882,0.0014682074581552514,0.0029364149163105028
MG3V,44,0.00023953397798144583,3.0,61913.1487422809,2887.930133495247,5.6907665040235625e-05,0.3599713445523095,0.0014682074581552514,0.004404622374465754
MG3V,45,0.00024984213770366803,2.0,54542.855426356196,4039.1686080258805,7.967705211529727e-05,0.27213039748853501,0.0014682074581552514,0.0029364149163105028
MG3V,46,0.00026015029742589024,2.0,53194.334661655128,4619.2816459829919,9.1211928693081941e-05,0.29468262562552727,0.0014682074581552514,0.0029364149163105028
MG3V,47,0.00027045845714811245,2.0,50060.096300698817,4452.861390942242,8.800795789229516e-05,0.29824539580679005,0.0014682074581552514,0.0029364149163105028
MG3V,48,0.00028076661687033465,2.0,46712.361917056143,4026.2435445478186,7.9645385358281744e-05,0.29358516535606738,0.0014682074581552514,0.0029364149163105028
MG3V,49,0.00029107477659255686,2.0,43789.220087260008,3643.6402886210708,7.2135715280229902e-05,0.28845903257688982,0.0014682074581552514,0.0029364149163105028
MG3V,50,0.00030138293631477907,2.0,41238.018832810223,3502.4195907785324,6.9393115834287452e-05,0.29143062682990412,0.0014682074581552514,0.0029364149163105028
MG3V,51,0.00031169109603700128,2.0,39000.424149170518,3428.0489738160977,6.7968818639037185e-05,0.29647552292551793,0.0014682074581552514,0.0029364149163105028
MG3V,52,0.00032199925575922348,2.0,36981.425166018307,3375.1029236256145,6.6964836531951556e-05,0.3021006701913046,0.0014682074581552514,0.0029364149163105028
MG3V,53,0.00033230741548144569,2.0,35122.178917475045,3335.8601576962974,6.6229066516955022e-05,0.308186203387948,0.0014682074581552514,0.0029364149163105028
MG3V,54,0.0003426155752036679,2.0,33402.732799991965,3286.2575619717827,6.5284268645985984e-05,0.31366047765920813,0.0014682074581552514,0.0029364149163105028
MG3V,55,0.00035292373492589011,2.0,31808.846344061196,3224.6927472257521,6.4098477673895361e-05,0.31839791218406849,0.0014682074581552514,0.0029364149163105028
MG3V,56,0.00036323189464811231,2.0,30323.653657138348,3149.9001866421895,6.2646377716348375e-05,0.32229801611403408,0.0014682074581552514,0.0029364149163105028
MG3V,57,0.00037354005437033452,2.0,28931.078382901847,3059.4073586466257,6.0878586296415587e-05,0.32518937138453424,0.0014682074581552514,0.0029364149163105028
MG3V,58,0.00038384821409255673,2.0,27617.290538661182,2948.5962012389209,5.8702927117877202e-05,0.32675114374068054,0.0014682074581552514,0.0029364149163105028
MG3V,59,0.00039415637381477893,2.0,26369.431471392512,2817.2755602005636,5.6115251645169743e-05,0.32686188480005968,0.0014682074581552514,0.0029364149163105028
MG3V,60,0.00040446453353700114,2.0,25182.40718460083,2669.7866943546105,5.3201747837996899e-05,0.32560394728181929,0.0014682074581552514,0.0029364149163105028
MG3V,61,0.00041477269325922335,2.0,24063.169969446957,2512.2118594869971,5.0083500474951312e-05,0.32311097618006268,0.0014682074581552514,0.0029364149163105028
MG3V,62,0.00042508085298144556,2.0,22994.787981934845,2344.5399094163768,4.6760271346691061e-05,0.31931116926586095,0.0014682074581552514,0.0029364149163105028
MG3V,63,0.00043538901270366776,2.0,21976.981860034168,2177.7842346017787,4.3451789018144462e-05,0.31479179202831759,0.0014682074581552514,0.0029364149163105028
MG3V,64,0.00044569717242588997,1.0,21026.031671255827,4823.4694835580885,9.6276166684843362e-05,0.22940465224125653,0.0014682074581552514,0.0014682074581552514
MG3V,65,0.00045600533214811218,2.0,23940.86425794661,2816.1700025477912,5.6232587309862113e-05,0.34297267596775061,0.0014682074581552514,0.0029364149163105028
MG3V,66,0.00046631349187033439,1.0,19274.467360086739,4165.709647634998,8.3208067182540679e-05,0.21612579843639587,0.0014682074581552514,0.0014682074581552514
MG3V,67,0.00047662165159255659,2.0,21461.661964014173,2301.1949793251697,4.5981538796726946e-05,0.3274500294603615,0.0014682074581552514,0.0029364149163105028
MG3V,68,0.0004869298113147788,1.0,17602.97348113358,3640.5419505853206,7.2766674958791482e-05,0.2068140336907944,0.0014682074581552514,0.0014682074581552514
MG3V,69,0.00049723797103700101,2.0,19767.85112413764,2019.1066003427841,4.0370947047863405e-05,0.31959493904596531,0.0014682074581552514,0.0029364149163105028
MG3V,70,0.00050754613075922321,1.0,16331.560758963227,3356.7780300453305,6.7136669777328952e-05,0.20553932839536079,0.0014682074581552514,0.0014682074581552514
MG3V,71,0.00051785429048144542,1.0,18448.103481315076,4692.5189022999257,9.3880900881399525e-05,0.25436321446552396,0.0014682074581552514,0.0014682074581552514
MG3V,72,0.00052816245020366763,2.0,19198.413310840726,2172.5856754421256,4.3478841771453024e-05,0.33639984524342464,0.0014682074581552514,0.0029364149163105028
MG3V,73,0.00053847060992588984,1.0,14554.02406501025,2814.4246102795005,5.6338084618568691e-05,0.1933777625835964,0.0014682074581552514,0.0014682074581552514
MG3V,74,0.00054877876964811204,1.0,16321.044546596706,3973.2736161742359,7.9557388413957746e-05,0.24344481168656268,0.0014682074581552514,0.0014682074581552514
MG3V,75,0.00055908692937033425,1.0,17151.272251069546,4577.1875523421913,9.1674450849558062e-05,0.26687160493629036,0.0014682074581552514,0.0014682074581552514
MG3V,76,0.00056939508909255646,1.0,17079.347693577409,4657.1132456529886,9.3299341183815713e-05,0.27267512373463004,0.0014682074581552514,0.0014682074581552514
MG3V,77,0.00057970324881477867,1.0,16565.11662504822,4459.5286642871797,8.9363013461442469e-05,0.26921202942476707,0.0014682074581552514,0.0014682074581552514
MG3V,78,0.00059001140853700087,1.0,15900.920219697058,4201.2962783239782,8.4208311767216228e-05,0.26421717864603061,0.0014682074581552514,0.0014682074581552514
MG3V,79,0.00060031956825922308,1.0,15298.685280196369,3995.9078619014472,8.0109988648283467e-05,0.26119289263855994,0.0014682074581552514,0.0014682074581552514
MG3V,80,0.00061062772798144529,1.0,14805.933503098786,3865.9333772957325,7.7521543660333947e-05,0.261107033642061,0.0014682074581552514,0.0014682074581552514
MG3V,81,0.00062093588770366749,1.0,14408.223639570177,3784.7867119517177,7.5910847178982575e-05,0.26268239629188772,0.0014682074581552514,0.0014682074581552514
MG3V,82,0.0006312440474258897,1.0,14056.201026402414,3722.9570020791143,7.4686549401732966e-05,0.26486224799190844,0.0014682074581552514,0.0014682074581552514
MG3V,83,0.00064155220714811191,1.0,13722.870321117342,3659.8111856356263,7.343491220234784e-05,0.26669429208288531,0.0014682074581552514,0.0014682074581552514
MG3V,84,0.00065186036687033412,1.0,13390.43159032613,3584.2325410023332,7.1932839165739503e-05,0.26767117376498523,0.0014682074581552514,0.0014682074581552514
MG3V,85,0.00066216852659255632,1.0,13051.781876496971,3496.048207288608,7.017674342287571e-05,0.26785984016359682,0.0014682074581552514,0.0014682074581552514
MG3V,86,0.00067247668631477853,1.0,12711.728147909045,3399.0744218528271,6.8243137651243692e-05,0.26739672075286958,0.0014682074581552514,0.0014682074581552514
MG3V,87,0.00068278484603700074,1.0,12376.311931245029,3299.5694011151791,6.6257636991934148e-05,0.2666036069101605,0.0014682074581552514,0.0014682074581552514
MG3V,88,0.00069309300575922295,1.0,12051.089692525566,3197.5543804392219,6.422068445633222e-05,0.26533321566948737,0.0014682074581552514,0.0014682074581552514
MG3V,89,0.00070340116548144515,1.0,11730.471148177981,3093.3638386428356,6.2139011556455075e-05,0.26370329030844664,0.0014682074581552514,0.0014682074581552514
MG3V,90,0.00071370932520366736,1.0,11415.784503847361,2987.5722971968353,6.0024177408826717e-05,0.26170538662410459,0.0014682074581552514,0.0014682074581552514
MG3V,91,0.00072401748492588957,1.0,11109.00239431113,2882.9995301961899,5.793286626475825e-05,0.25951921044436543,0.0014682074581552514,0.0014682074581552514
MG3V,92,0.00073432564464811177,1.0,10812.619835957885,2779.5173197668046,5.5862549484128786e-05,0.25706233659703698,0.0014682074581552514,0.0014682074581552514
MG3V,93,0.00074463380437033398,1.0,10524.589693941176,2676.7404012884945,5.3805526154969322e-05,0.25433204325575254,0.0014682074581552514,0.0014682074581552514
MG3V,94,0.00075494196409255619,1.0,10243.669169217348,2575.1801360473037,5.177211464173103e-05,0.25139235692868989,0.0014682074581552514,0.0014682074581552514
MG3V,95,0.0007652501238147784,1.0,9971.2159789800644,2477.5374535787851,4.9816664479558018e-05,0.24846893887381299,0.0014682074581552514,0.0014682074581552514
MG3V,96,0.0007755582835370006,1.0,9710.4729527160525,2385.1355358026922,4.7965849194465444e-05,0.24562506351820501,0.0014682074581552514,0.0014682074581552514
MG3V,97,0.00078586644325922281,1.0,9461.795623652637,2297.9215408097953,4.6218678080977344e-05,0.24286315538938943,0.0014682074581552514,0.0014682074581552514
MG3V,98,0.00079617460298144502,1.0,9224.6229663714767,2217.9233347419649,4.4616011742430095e-05,0.24043512052768368,0.0014682074581552514,0.0014682074581552514
